,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,26,77,8,43,17,25,16,37,13,8,5,24,20,77
0,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,29,85,4,30,12,22,14,35,12,18,1,17,24,74
0,Regular 1,Danang-Dragons,Hochiminh-City-Wings,32,74,3,20,10,18,15,25,9,5,6,18,12,77
0,Regular 1,Hochiminh-City-Wings,Danang-Dragons,27,69,5,18,16,23,7,24,6,8,4,15,6,75
0,Regular 1,Hanoi-Buffalos,Saigon-Heat,26,57,12,28,18,24,6,27,21,7,4,17,19,82
0,Regular 1,Saigon-Heat,Hanoi-Buffalos,35,73,12,29,14,18,10,26,13,16,0,20,16,96
0,Regular 1,Hochiminh-City-Wings,Saigon-Heat,33,64,6,15,5,6,5,23,4,4,1,15,19,77
0,Regular 1,Saigon-Heat,Hochiminh-City-Wings,30,76,10,28,16,21,18,18,9,10,3,6,12,86
0,Regular 2,Can-Tho-Catfish,Saigon-Heat,29,74,5,28,11,13,11,21,7,14,4,13,16,74
0,Regular 2,Saigon-Heat,Can-Tho-Catfish,32,76,14,28,11,15,14,29,16,12,0,15,22,89
0,Regular 2,Danang-Dragons,Hochiminh-City-Wings,29,68,10,24,11,28,14,28,19,10,1,18,7,79
0,Regular 2,Hochiminh-City-Wings,Danang-Dragons,27,65,5,20,13,24,13,29,12,5,2,23,18,72
0,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,21,54,6,20,14,22,10,32,9,10,4,15,29,62
0,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,27,85,4,30,5,12,21,20,10,15,2,21,15,63
0,Regular 2,Hanoi-Buffalos,Hochiminh-City-Wings,33,71,5,23,17,24,13,27,8,12,4,14,12,88
0,Regular 2,Hochiminh-City-Wings,Hanoi-Buffalos,23,66,7,21,9,14,6,21,10,7,1,24,17,62
0,Regular 2,Danang-Dragons,Thang-Long-Warriors,28,71,4,17,16,26,12,36,12,7,7,14,13,76
0,Regular 2,Thang-Long-Warriors,Danang-Dragons,29,82,6,31,6,10,12,31,11,7,1,24,12,70
0,Regular 3,Danang-Dragons,Saigon-Heat,25,60,8,23,11,19,4,22,14,6,5,15,15,69
0,Regular 3,Saigon-Heat,Danang-Dragons,33,69,5,23,12,17,5,33,12,7,0,17,9,83
0,Regular 3,Saigon-Heat,Thang-Long-Warriors,22,62,4,28,9,16,9,32,9,4,2,15,21,57
0,Regular 3,Thang-Long-Warriors,Saigon-Heat,24,73,8,35,13,18,10,26,18,11,5,16,11,69
0,Regular 3,Can-Tho-Catfish,Thang-Long-Warriors,24,57,8,25,13,27,12,28,12,8,3,11,21,69
0,Regular 3,Thang-Long-Warriors,Can-Tho-Catfish,29,70,3,21,6,16,15,26,11,14,1,22,17,67
0,Regular 3,Can-Tho-Catfish,Hochiminh-City-Wings,41,86,14,34,8,15,13,30,23,13,1,13,13,104
0,Regular 3,Hochiminh-City-Wings,Can-Tho-Catfish,30,73,8,25,9,12,13,31,11,6,2,11,23,77
0,Regular 3,Danang-Dragons,Hanoi-Buffalos,29,68,11,26,7,11,4,29,16,10,3,18,14,76
0,Regular 3,Hanoi-Buffalos,Danang-Dragons,30,61,10,23,16,31,9,32,15,10,4,16,18,86
0,Regular 4,Hochiminh-City-Wings,Saigon-Heat,33,73,5,20,18,29,12,24,9,3,5,33,12,89
0,Regular 4,Saigon-Heat,Hochiminh-City-Wings,37,71,13,30,19,37,12,30,18,6,0,26,11,106
0,Regular 4,Can-Tho-Catfish,Danang-Dragons,37,90,6,37,8,15,19,31,20,12,3,14,11,88
0,Regular 4,Danang-Dragons,Can-Tho-Catfish,32,72,5,22,9,10,9,33,13,5,0,11,19,78
0,Regular 4,Can-Tho-Catfish,Danang-Dragons,43,80,15,36,10,14,9,20,27,11,5,13,9,111
0,Regular 4,Danang-Dragons,Can-Tho-Catfish,31,74,9,30,9,15,10,23,18,6,2,12,19,80
0,Regular 4,Hanoi-Buffalos,Thang-Long-Warriors,25,68,5,20,20,28,12,24,10,7,6,14,13,75
0,Regular 4,Thang-Long-Warriors,Hanoi-Buffalos,27,69,5,27,10,15,10,27,12,8,5,25,13,69
0,Regular 4,Hanoi-Buffalos,Saigon-Heat,27,65,8,28,10,19,8,30,7,10,5,18,15,72
0,Regular 4,Saigon-Heat,Hanoi-Buffalos,23,68,8,22,11,14,11,32,9,5,1,21,17,65
0,Regular 5,Hanoi-Buffalos,Hochiminh-City-Wings,32,66,6,16,15,23,11,27,12,8,4,10,16,85
0,Regular 5,Hochiminh-City-Wings,Hanoi-Buffalos,33,71,3,11,6,8,8,25,8,8,1,16,13,75
0,Regular 5,Can-Tho-Catfish,Hanoi-Buffalos,35,70,13,29,9,16,13,27,16,10,2,14,20,92
0,Regular 5,Hanoi-Buffalos,Can-Tho-Catfish,33,72,5,20,6,14,14,23,20,17,4,17,16,77
0,Regular 5,Danang-Dragons,Saigon-Heat,31,63,9,25,7,19,7,26,16,5,4,17,11,78
0,Regular 5,Saigon-Heat,Danang-Dragons,33,70,13,28,12,18,7,23,21,7,1,14,8,91
0,Regular 5,Can-Tho-Catfish,Saigon-Heat,33,67,13,36,7,14,7,26,22,11,3,20,19,86
0,Regular 5,Saigon-Heat,Can-Tho-Catfish,28,64,8,24,14,24,10,30,11,11,0,16,16,78
0,Regular 6,Hanoi-Buffalos,Saigon-Heat,29,66,3,20,16,27,8,28,8,12,5,14,13,77
0,Regular 6,Saigon-Heat,Hanoi-Buffalos,27,65,8,22,9,14,5,30,10,10,1,18,21,71
0,Regular 6,Can-Tho-Catfish,Hochiminh-City-Wings,23,68,11,31,22,27,18,19,14,17,2,18,13,79
0,Regular 6,Hochiminh-City-Wings,Can-Tho-Catfish,28,57,6,16,9,12,6,25,15,10,2,22,21,71
0,Regular 6,Hanoi-Buffalos,Thang-Long-Warriors,24,68,6,29,13,25,9,33,12,16,2,17,11,67
0,Regular 6,Thang-Long-Warriors,Hanoi-Buffalos,28,68,7,23,8,13,9,40,20,10,0,28,23,71
0,Regular 6,Danang-Dragons,Thang-Long-Warriors,27,58,4,19,11,25,12,22,10,6,5,17,15,69
0,Regular 6,Thang-Long-Warriors,Danang-Dragons,30,67,5,21,13,16,8,19,10,12,2,8,19,78
0,Regular 7,Danang-Dragons,Saigon-Heat,38,84,5,19,9,16,16,22,7,7,4,14,21,90
0,Regular 7,Saigon-Heat,Danang-Dragons,37,68,11,24,17,26,7,34,15,3,2,17,17,102
0,Regular 7,Danang-Dragons,Hochiminh-City-Wings,39,81,10,29,13,24,19,21,10,6,1,8,23,101
0,Regular 7,Hochiminh-City-Wings,Danang-Dragons,37,69,12,19,21,28,7,25,17,3,1,8,19,107
0,Regular 7,Can-Tho-Catfish,Hanoi-Buffalos,31,68,12,35,8,12,5,21,18,16,1,19,14,82
0,Regular 7,Hanoi-Buffalos,Can-Tho-Catfish,31,61,4,16,8,11,10,32,18,10,3,27,11,74
0,Regular 7,Hochiminh-City-Wings,Thang-Long-Warriors,26,72,8,18,9,20,10,31,13,8,1,18,15,69
0,Regular 7,Thang-Long-Warriors,Hochiminh-City-Wings,38,87,5,28,11,17,18,38,20,12,5,11,15,92
0,Regular 8,Saigon-Heat,Thang-Long-Warriors,22,69,7,24,11,13,10,32,5,10,2,18,18,62
