,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 8,Thang-Long-Warriors,Saigon-Heat,28,69,7,17,10,14,7,30,13,13,3,17,18,73
0,Regular 8,Can-Tho-Catfish,Thang-Long-Warriors,28,69,8,25,5,13,7,20,15,3,3,12,15,69
0,Regular 8,Thang-Long-Warriors,Can-Tho-Catfish,33,72,4,16,10,12,15,38,12,7,1,14,16,80
0,Regular 8,Can-Tho-Catfish,Hanoi-Buffalos,36,72,10,27,4,9,9,28,22,13,4,16,17,86
0,Regular 8,Hanoi-Buffalos,Can-Tho-Catfish,24,62,6,24,15,19,6,24,14,12,1,15,18,69
0,Regular 8,Danang-Dragons,Hanoi-Buffalos,28,76,3,19,12,24,14,30,5,6,2,12,22,71
0,Regular 8,Hanoi-Buffalos,Danang-Dragons,33,68,3,16,13,23,4,32,10,7,3,12,21,82
0,Regular 8,Hochiminh-City-Wings,Saigon-Heat,32,65,7,18,8,14,6,18,12,6,2,14,15,79
0,Regular 8,Saigon-Heat,Hochiminh-City-Wings,42,82,7,22,9,12,12,26,13,9,0,9,12,100
0,Regular 9,Can-Tho-Catfish,Saigon-Heat,35,76,11,27,10,20,14,34,16,13,7,17,14,91
0,Regular 9,Saigon-Heat,Can-Tho-Catfish,30,76,8,30,12,18,13,28,17,9,0,19,18,80
0,Regular 9,Danang-Dragons,Thang-Long-Warriors,31,74,3,16,14,23,14,26,11,9,1,12,21,79
0,Regular 9,Thang-Long-Warriors,Danang-Dragons,39,74,4,17,11,15,7,31,22,13,3,18,15,93
0,Regular 9,Hanoi-Buffalos,Hochiminh-City-Wings,32,63,11,26,10,18,10,33,19,4,6,12,19,85
0,Regular 9,Hochiminh-City-Wings,Hanoi-Buffalos,28,70,6,22,5,7,4,20,13,12,1,14,9,67
0,Regular 9,Can-Tho-Catfish,Hochiminh-City-Wings,33,68,12,36,10,17,10,27,19,13,4,13,19,88
0,Regular 9,Hochiminh-City-Wings,Can-Tho-Catfish,32,76,12,27,8,12,16,23,17,6,1,10,18,84
0,Regular 10,Can-Tho-Catfish,Danang-Dragons,37,86,16,48,0,3,7,35,27,12,7,12,12,90
0,Regular 10,Danang-Dragons,Can-Tho-Catfish,33,86,5,24,6,12,16,41,18,6,2,9,18,77
0,Regular 10,Saigon-Heat,Thang-Long-Warriors,31,70,10,27,12,17,16,24,17,11,1,19,21,84
0,Regular 10,Thang-Long-Warriors,Saigon-Heat,32,70,4,19,15,20,12,23,15,13,1,17,20,83
0,Regular 10,Danang-Dragons,Hanoi-Buffalos,32,81,8,25,12,17,15,23,7,5,2,26,17,84
0,Regular 10,Hanoi-Buffalos,Danang-Dragons,30,58,2,13,29,37,6,30,7,9,6,15,16,91
0,Regular 10,Hochiminh-City-Wings,Thang-Long-Warriors,29,78,7,28,7,10,13,31,9,5,2,17,16,72
0,Regular 10,Thang-Long-Warriors,Hochiminh-City-Wings,34,69,5,17,17,24,6,30,5,12,4,12,9,90
0,Semi-Finals 1,Hanoi-Buffalos,Thang-Long-Warriors,23,60,7,23,14,25,8,36,14,9,5,14,20,67
0,Semi-Finals 1,Thang-Long-Warriors,Hanoi-Buffalos,25,72,3,17,10,13,9,32,12,13,3,22,17,63
0,Semi-Finals 1,Can-Tho-Catfish,Saigon-Heat,33,74,12,39,12,18,10,18,19,6,5,23,8,90
0,Semi-Finals 1,Saigon-Heat,Can-Tho-Catfish,28,67,3,23,11,22,18,30,10,4,1,23,23,70
0,Semi-Finals 2,Can-Tho-Catfish,Saigon-Heat,37,79,7,27,13,24,20,22,11,14,3,18,17,94
0,Semi-Finals 2,Saigon-Heat,Can-Tho-Catfish,33,73,7,21,14,22,18,21,11,14,2,20,20,87
0,Semi-Finals 2,Hanoi-Buffalos,Thang-Long-Warriors,24,50,6,18,21,33,7,36,12,8,4,18,23,75
0,Semi-Finals 2,Thang-Long-Warriors,Hanoi-Buffalos,26,75,7,30,15,22,11,24,10,16,1,22,11,74
0,Finals 1,Can-Tho-Catfish,Hanoi-Buffalos,32,77,8,35,8,14,13,25,19,9,3,11,14,80
0,Finals 1,Hanoi-Buffalos,Can-Tho-Catfish,32,69,5,24,7,12,10,34,17,5,1,14,14,76
0,Finals 2,Can-Tho-Catfish,Hanoi-Buffalos,36,80,10,34,8,11,14,38,18,9,8,14,16,90
0,Finals 2,Hanoi-Buffalos,Can-Tho-Catfish,26,69,9,28,7,11,5,30,13,8,1,14,16,68
0,Finals 3,Can-Tho-Catfish,Hanoi-Buffalos,25,78,13,39,13,16,13,33,15,8,4,13,15,76
0,Finals 3,Hanoi-Buffalos,Can-Tho-Catfish,27,74,4,24,13,21,10,38,14,9,2,13,21,71
