,teamID,year,#,name,fgm,fga,x3pm,x3pa,ftm,fta,oreb,dreb,ast,stl,blk,tov,pf,pts,aRat,tRat,ts,eFG,lgFT,lgPF,lgFTA,factor,VOP,DRB,tAST,tFGM,tPACE,PER,lgPER,lgPACE,aPER
0,CTC,2017,3,"Le, Nguycn",1.5,3.5,1.0,2.25,0.625,0.875,0.375,1.0,0.5,0.625,0.125,1.25,1.125,4.625,8.873114463176575,22.18278615794144,0.5952380952380952,0.8571428571428571,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,2.7097792738021815,3.873211931663683,86.9970695970696,10.226167690809135
1,CTC,2017,4,"Thanh, Hucnh",0.75,2.1666666666666665,0.08333333333333333,0.5833333333333334,0.0,0.3333333333333333,0.3333333333333333,0.5,1.8333333333333333,0.6666666666666666,0.0,1.1666666666666667,0.5833333333333334,1.5833333333333333,34.50439146800502,21.957340025094105,0.34221902017291067,0.40384615384615385,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,1.290903514749078,3.873211931663683,86.9970695970696,4.87161295464343
2,CTC,2017,6,"Nguycn, Hoang",0.6666666666666666,1.2222222222222223,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,1.6666666666666667,0.0,28.868360277136258,0.6087662337662337,0.8181818181818181,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,0.52794443135163,3.873211931663683,86.9970695970696,1.9923572147097193
3,CTC,2017,7,"Du Minh, An",0.6666666666666666,2.0,0.0,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.5555555555555556,2.0,1.0,0.1111111111111111,1.5555555555555556,1.8888888888888888,1.5555555555555556,34.77588871715611,27.047913446676972,0.354251012145749,0.3333333333333333,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,1.288189448294365,3.873211931663683,86.9970695970696,4.86137060798508
4,CTC,2017,8,"Ngcc, Nguycn",1.6,4.2,0.4,1.9,0.2,0.5,0.4,1.7,3.3,0.6,0.1,3.4,2.4,3.8,29.676258992805757,30.575539568345327,0.42986425339366513,0.5238095238095238,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,1.398076912203353,3.873211931663683,86.9970695970696,5.276064027451053
5,CTC,2017,11,"Thanh, Dinh",6.285714285714286,13.071428571428571,1.7142857142857142,5.071428571428571,1.2857142857142858,2.2142857142857144,2.642857142857143,3.357142857142857,3.9285714285714284,2.7857142857142856,0.35714285714285715,4.142857142857143,2.857142857142857,15.571428571428571,17.762562976359643,18.731430047797446,0.5543124491456468,0.6775956284153006,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,11.804881366204892,3.873211931663683,86.9970695970696,44.54927291975883
6,CTC,2017,12,"Hucnh, Nguycn",0.25,0.6666666666666666,0.0,0.0,0.16666666666666666,0.25,0.5,0.75,0.25,0.0,0.0,0.75,0.4166666666666667,0.6666666666666666,14.071294559099437,42.21388367729831,0.4291845493562232,0.375,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,0.1758783003731284,3.873211931663683,86.9970695970696,0.6637297030715306
7,CTC,2017,13,"Le Van, Day",0.8333333333333334,2.0833333333333335,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.75,0.8333333333333334,0.75,0.4166666666666667,0.08333333333333333,1.1666666666666667,0.5833333333333334,2.1666666666666665,17.619420516836335,27.4079874706343,0.46296296296296285,0.52,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,1.3750541060939208,3.873211931663683,86.9970695970696,5.189180539093091
8,CTC,2017,14,"Hucnh, Nguycn",0.375,1.125,0.25,0.75,0.0,0.0,0.125,0.375,0.375,0.125,0.0,0.375,0.125,1.0,20.0,20.0,0.4444444444444444,0.6666666666666666,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,0.567364899516977,3.873211931663683,86.9970695970696,2.1411222162751087
9,CTC,2017,19,"Ngcc, Nguycn",3.0,10.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,23.076923076923077,0.35,0.45,0.9618248484319916,1.4576739398167973,1.5719589933875655,0.6003270145406818,0.8322544392979153,0.7208650051127408,21.785714285714285,31.928571428571427,89.27824175824176,0.7392865445812571,3.873211931663683,86.9970695970696,2.7899202896474278
