,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Danang-Dragons,Thang-Long-Warriors,20,74,8,26,17,31,10,19,8,5,2,26,13,65
0,Regular 1,Thang-Long-Warriors,Danang-Dragons,40,85,3,17,13,17,5,22,23,8,1,21,26,96
0,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,34,70,10,20,5,14,7,25,32,11,5,21,17,83
0,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,31,71,12,29,12,16,11,30,27,7,2,24,14,86
0,Regular 1,Saigon-Heat,Thang-Long-Warriors,30,64,10,22,16,30,6,31,21,14,3,17,22,86
0,Regular 1,Thang-Long-Warriors,Saigon-Heat,29,73,7,21,13,25,13,31,20,8,1,28,21,78
0,Regular 1,Danang-Dragons,Hochiminh-City-Wings,26,71,4,21,18,24,13,19,15,13,1,11,19,74
0,Regular 1,Hochiminh-City-Wings,Danang-Dragons,33,62,3,14,8,18,9,23,22,3,2,18,20,77
0,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,30,74,8,24,11,19,8,27,11,7,9,27,20,79
0,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,26,82,8,34,11,28,8,20,13,3,4,15,22,71
0,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,26,73,7,20,12,24,17,33,12,5,4,23,20,71
0,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,28,71,3,13,20,28,6,23,10,18,4,9,22,79
0,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,19,70,5,30,14,21,9,26,10,7,2,17,18,57
0,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,21,63,5,18,8,18,11,29,8,4,2,22,19,55
0,Regular 3,Can-Tho-Catfish,Saigon-Heat,24,62,1,17,10,18,7,26,13,14,5,26,10,59
0,Regular 3,Saigon-Heat,Can-Tho-Catfish,29,68,7,20,7,12,10,26,19,10,1,24,17,72
0,Regular 3,Danang-Dragons,Thang-Long-Warriors,28,65,4,17,4,11,12,29,25,5,3,16,21,64
0,Regular 3,Thang-Long-Warriors,Danang-Dragons,27,62,6,18,19,31,5,21,21,11,3,8,16,79
0,Regular 4,Hochiminh-City-Wings,Saigon-Heat,23,64,4,14,9,15,13,23,6,16,3,24,23,59
0,Regular 4,Saigon-Heat,Hochiminh-City-Wings,22,58,4,17,19,34,10,26,6,16,5,23,19,67
0,Regular 4,Hanoi-Buffalos,Thang-Long-Warriors,19,69,3,25,25,38,5,20,9,8,4,9,19,66
0,Regular 4,Thang-Long-Warriors,Hanoi-Buffalos,24,66,8,25,15,24,6,32,13,3,5,20,22,71
0,Regular 5,Can-Tho-Catfish,Danang-Dragons,39,87,12,37,3,8,13,19,28,18,4,10,11,93
0,Regular 5,Danang-Dragons,Can-Tho-Catfish,30,59,5,16,9,10,6,27,23,7,3,26,12,74
0,Regular 5,Hanoi-Buffalos,Saigon-Heat,31,70,8,22,7,13,7,23,26,12,1,17,19,77
0,Regular 5,Saigon-Heat,Hanoi-Buffalos,33,61,7,17,11,21,9,31,28,8,1,24,15,84
0,Regular 6,Can-Tho-Catfish,Hochiminh-City-Wings,32,68,9,23,12,19,9,23,22,11,1,30,18,85
0,Regular 6,Hochiminh-City-Wings,Can-Tho-Catfish,28,68,6,19,9,17,16,24,22,8,0,31,20,71
0,Regular 6,Hanoi-Buffalos,Saigon-Heat,24,57,4,17,4,5,5,12,8,14,4,8,12,56
0,Regular 6,Saigon-Heat,Hanoi-Buffalos,26,50,9,15,9,14,3,27,13,3,3,22,18,70
0,Regular 7,Danang-Dragons,Hanoi-Buffalos,22,54,7,24,7,12,3,24,20,4,1,21,22,58
0,Regular 7,Hanoi-Buffalos,Danang-Dragons,25,63,3,24,14,20,9,25,18,9,2,17,14,67
0,Regular 7,Hochiminh-City-Wings,Saigon-Heat,31,64,3,17,14,21,7,24,30,14,0,25,15,79
0,Regular 7,Saigon-Heat,Hochiminh-City-Wings,26,66,7,23,15,17,10,21,24,18,2,30,24,74
0,Regular 7,Can-Tho-Catfish,Thang-Long-Warriors,27,75,5,25,8,17,16,31,12,8,4,25,23,67
0,Regular 7,Thang-Long-Warriors,Can-Tho-Catfish,28,75,4,15,19,26,13,30,11,13,3,17,20,79
0,Regular 8,Hanoi-Buffalos,Hochiminh-City-Wings,26,68,10,30,19,23,6,20,16,12,4,15,11,81
0,Regular 8,Hochiminh-City-Wings,Hanoi-Buffalos,27,68,8,20,12,16,13,35,13,9,1,23,20,74
0,Regular 8,Can-Tho-Catfish,Thang-Long-Warriors,28,83,9,36,7,13,18,26,22,10,4,15,17,72
0,Regular 8,Thang-Long-Warriors,Can-Tho-Catfish,30,64,5,13,9,24,9,33,19,5,0,22,16,74
0,Regular 9,Hanoi-Buffalos,Thang-Long-Warriors,19,64,5,21,18,28,15,21,12,11,2,14,13,61
0,Regular 9,Thang-Long-Warriors,Hanoi-Buffalos,26,69,8,23,11,14,17,31,10,8,4,18,23,71
0,Regular 9,Can-Tho-Catfish,Saigon-Heat,28,64,2,22,20,28,10,34,25,19,5,31,22,78
0,Regular 9,Saigon-Heat,Can-Tho-Catfish,22,69,6,22,12,19,12,27,21,12,1,35,20,62
0,Regular 9,Danang-Dragons,Hochiminh-City-Wings,25,68,7,26,6,8,12,27,22,10,4,21,18,63
0,Regular 9,Hochiminh-City-Wings,Danang-Dragons,23,57,6,16,8,14,4,29,19,14,1,21,13,60
0,Regular 10,Danang-Dragons,Hanoi-Buffalos,20,52,7,20,13,28,9,29,16,11,2,25,23,60
0,Regular 10,Hanoi-Buffalos,Danang-Dragons,23,65,4,19,16,25,12,28,15,8,1,19,24,66
0,Regular 10,Hochiminh-City-Wings,Saigon-Heat,18,58,6,18,21,29,15,23,12,10,1,32,15,63
0,Regular 10,Saigon-Heat,Hochiminh-City-Wings,40,69,11,19,11,19,8,21,17,20,8,20,21,102
0,Regular 11,Can-Tho-Catfish,Danang-Dragons,38,72,15,24,14,20,4,32,26,9,1,19,19,105
0,Regular 11,Danang-Dragons,Can-Tho-Catfish,41,83,8,20,9,14,11,31,25,12,4,16,17,99
0,Regular 11,Can-Tho-Catfish,Thang-Long-Warriors,36,73,10,23,8,18,15,31,25,7,7,21,15,90
0,Regular 11,Thang-Long-Warriors,Can-Tho-Catfish,32,82,11,28,12,20,13,24,21,12,3,11,15,87
0,Regular 11,Hanoi-Buffalos,Saigon-Heat,24,60,6,19,18,33,12,30,18,20,2,26,17,72
0,Regular 11,Saigon-Heat,Hanoi-Buffalos,25,70,4,23,10,13,12,29,20,13,4,32,27,64
0,Regular 12,Danang-Dragons,Hochiminh-City-Wings,27,71,2,22,7,14,9,23,13,11,7,15,22,63
0,Regular 12,Hochiminh-City-Wings,Danang-Dragons,32,75,4,16,16,28,21,35,18,8,2,19,13,84
0,Regular 12,Danang-Dragons,Saigon-Heat,29,69,4,13,20,27,11,28,17,7,4,17,16,82
0,Regular 12,Saigon-Heat,Danang-Dragons,28,72,4,14,12,20,11,23,18,7,3,11,19,72
0,Regular 12,Can-Tho-Catfish,Hanoi-Buffalos,33,74,7,23,4,10,14,35,19,9,5,18,13,77
0,Regular 12,Hanoi-Buffalos,Can-Tho-Catfish,30,75,6,15,9,15,11,28,17,9,0,11,15,75
0,Regular 13,Danang-Dragons,Saigon-Heat,26,62,6,25,20,27,10,23,21,7,1,19,14,78
0,Regular 13,Saigon-Heat,Danang-Dragons,38,76,7,20,10,13,13,22,25,11,4,13,20,93
0,Regular 13,Hanoi-Buffalos,Thang-Long-Warriors,24,87,9,28,12,17,14,31,14,11,3,12,25,69
0,Regular 13,Thang-Long-Warriors,Hanoi-Buffalos,27,66,2,5,24,33,10,41,9,6,9,18,19,80
0,Regular 13,Can-Tho-Catfish,Hochiminh-City-Wings,28,76,6,31,5,13,11,17,21,8,0,21,5,67
0,Regular 13,Hochiminh-City-Wings,Can-Tho-Catfish,37,61,8,14,3,6,4,33,32,7,3,27,13,85
0,Regular 14,Danang-Dragons,Thang-Long-Warriors,29,70,0,9,14,25,10,29,20,2,4,14,16,72
0,Regular 14,Thang-Long-Warriors,Danang-Dragons,33,81,5,20,11,19,14,31,27,9,2,9,20,82
0,Regular 14,Can-Tho-Catfish,Saigon-Heat,29,82,10,37,12,23,16,37,18,16,7,29,17,80
0,Regular 14,Saigon-Heat,Can-Tho-Catfish,29,87,8,27,19,23,17,41,14,11,3,31,20,85
0,Regular 14,Hanoi-Buffalos,Hochiminh-City-Wings,24,72,8,29,9,14,13,27,9,9,3,10,15,65
0,Regular 14,Hochiminh-City-Wings,Hanoi-Buffalos,25,55,5,17,5,11,2,33,12,4,1,13,15,60
0,Regular 14,Saigon-Heat,Thang-Long-Warriors,25,67,7,25,12,21,11,39,14,6,1,28,16,69
