,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 14,Thang-Long-Warriors,Saigon-Heat,29,76,6,25,11,20,10,32,17,14,2,13,16,75
0,Regular 15,Danang-Dragons,Saigon-Heat,24,81,6,24,10,15,13,23,14,9,4,14,17,64
0,Regular 15,Saigon-Heat,Danang-Dragons,32,66,2,15,13,20,11,40,27,4,6,22,15,79
0,Regular 15,Can-Tho-Catfish,Hochiminh-City-Wings,41,91,13,40,4,7,20,37,31,15,5,31,14,99
0,Regular 15,Hochiminh-City-Wings,Can-Tho-Catfish,25,68,3,12,10,15,6,26,15,12,0,28,12,63
0,Regular 15,Hochiminh-City-Wings,Thang-Long-Warriors,28,75,4,25,13,18,16,31,12,6,2,26,16,73
0,Regular 15,Thang-Long-Warriors,Hochiminh-City-Wings,32,78,4,19,16,23,14,28,17,20,3,20,16,84
0,Regular 16,Danang-Dragons,Hanoi-Buffalos,22,68,6,18,11,20,10,30,15,8,2,21,11,61
0,Regular 16,Hanoi-Buffalos,Danang-Dragons,33,80,6,28,11,14,12,31,14,13,3,14,18,83
0,Regular 16,Saigon-Heat,Thang-Long-Warriors,27,70,0,9,12,19,13,30,11,14,5,26,20,66
0,Regular 16,Thang-Long-Warriors,Saigon-Heat,24,76,4,24,17,30,20,27,15,16,3,19,20,69
0,Semi-Finals 1,Can-Tho-Catfish,Saigon-Heat,34,95,8,40,9,12,14,38,8,10,10,17,17,85
0,Semi-Finals 1,Saigon-Heat,Can-Tho-Catfish,31,85,3,21,15,22,9,36,16,6,3,17,15,80
0,Semi-Finals 1,Hanoi-Buffalos,Thang-Long-Warriors,20,67,3,23,14,23,12,26,10,8,9,23,19,57
0,Semi-Finals 1,Thang-Long-Warriors,Hanoi-Buffalos,31,74,4,14,16,22,14,28,11,13,2,15,19,82
0,Semi-Finals 2,Can-Tho-Catfish,Saigon-Heat,29,72,10,33,8,16,12,32,17,16,2,23,13,76
0,Semi-Finals 2,Saigon-Heat,Can-Tho-Catfish,30,69,5,19,3,6,7,29,24,8,1,23,14,68
0,Semi-Finals 2,Hanoi-Buffalos,Thang-Long-Warriors,20,73,5,24,13,19,13,39,12,6,1,19,19,58
0,Semi-Finals 2,Thang-Long-Warriors,Hanoi-Buffalos,26,63,7,19,10,26,2,32,18,9,2,13,18,69
0,Finals 1,Can-Tho-Catfish,Thang-Long-Warriors,30,71,13,33,10,16,16,35,20,6,7,25,14,83
0,Finals 1,Thang-Long-Warriors,Can-Tho-Catfish,30,86,7,24,11,13,17,24,18,11,4,11,16,78
0,Finals 2,Can-Tho-Catfish,Thang-Long-Warriors,28,81,4,27,8,14,15,31,15,12,5,15,17,68
0,Finals 2,Thang-Long-Warriors,Can-Tho-Catfish,28,70,3,11,14,22,10,30,13,10,1,19,17,73
0,Finals 3,Can-Tho-Catfish,Thang-Long-Warriors,29,69,10,29,9,26,10,33,20,13,6,29,17,77
0,Finals 3,Thang-Long-Warriors,Can-Tho-Catfish,28,78,4,17,14,22,18,35,17,11,1,26,21,74
0,Finals 4,Can-Tho-Catfish,Thang-Long-Warriors,25,64,5,24,9,14,8,29,13,7,5,32,16,64
0,Finals 4,Thang-Long-Warriors,Can-Tho-Catfish,34,84,5,19,6,15,22,31,14,9,1,20,15,79
