,teamID,year,gp,win,fgm,fga,x3pm,x3pa,ftm,fta,oreb,dreb,ast,stl,blk,tov,pf,pts,wPct,poss,oPoss,oOreb,oDreb,oPts,pace,aRat,tRat,orr,drr,trr,ts,eFG,oEff,dEff,mov
0,CTC,2017,14.0,8.0,31.928571428571427,75.07142857142857,8.357142857142858,27.285714285714285,8.785714285714286,16.214285714285715,12.0,28.571428571428573,21.785714285714285,11.571428571428571,4.428571428571429,23.142857142857142,15.785714285714286,81.0,0.5714285714285714,92.69999999999999,85.85648351648352,10.26153846153846,27.294505494505493,73.18681318681317,89.27824175824176,17.135986695732296,18.203474391532012,0.3053862072822865,0.7357518818269285,0.5192978507932936,0.49266648130126517,0.5922930542340629,87.37864077669903,85.24319910302648,7.813186813186832
1,CTC,2018,15.0,13.0,32.733333333333334,73.86666666666666,10.8,33.13333333333333,9.466666666666667,16.0,11.333333333333334,26.933333333333334,18.066666666666666,11.6,3.6,15.266666666666667,15.533333333333333,85.73333333333333,0.8666666666666667,84.2,83.43161904761905,10.48952380952381,27.820952380952384,78.76571428571428,83.81580952380952,15.814659197012139,13.363678804855276,0.28945320101186994,0.7197027536010587,0.4997139516951471,0.5298286090969018,0.6624548736462095,101.82106096595408,94.40751022793688,6.967619047619053
2,CTC,2019,14.0,9.0,33.5,76.21428571428571,7.714285714285714,28.0,10.857142857142858,18.857142857142858,10.857142857142858,32.642857142857146,15.571428571428571,12.214285714285714,3.642857142857143,17.785714285714285,15.214285714285714,85.57142857142857,0.6428571428571429,90.68571428571428,83.66990476190476,12.06285714285714,29.937142857142856,72.80761904761906,87.17780952380951,13.21084016095409,15.089445871915451,0.26614371760750805,0.7301719179395413,0.5087719298245614,0.5062713411541973,0.5913776944704779,94.36042848141147,87.01769083495915,12.763809523809513
3,DND,2017,13.0,2.0,26.692307692307693,67.61538461538461,5.230769230769231,20.23076923076923,11.846153846153847,18.923076923076923,9.923076923076923,25.46153846153846,18.384615384615383,7.923076923076923,3.076923076923077,18.53846153846154,17.692307692307693,70.46153846153847,0.15384615384615385,83.8,87.63648351648352,10.676923076923078,27.91648351648352,75.29450549450549,85.71824175824176,16.28908699326627,16.42539734467436,0.2622408085032235,0.7045551298424861,0.47831253713606653,0.4639196142781898,0.5108077360637088,84.08298145768313,85.91684932262642,-4.832967032967019
4,DND,2018,15.0,3.0,31.0,72.66666666666667,6.466666666666667,22.533333333333335,10.466666666666667,19.133333333333333,12.066666666666666,27.133333333333333,12.333333333333334,6.6,3.0,14.733333333333333,16.466666666666665,78.93333333333334,0.2,82.98666666666668,83.67428571428572,10.342857142857145,27.780952380952385,80.12571428571428,83.33047619047619,11.40370342974086,13.622802475528268,0.3028202676864245,0.7240152477763659,0.5069589850966868,0.4867300292695761,0.560091743119266,95.11568123393316,95.75906576521204,-1.1923809523809439
5,DND,2019,15.0,5.0,27.466666666666665,70.2,5.866666666666666,22.133333333333333,9.533333333333333,14.933333333333334,10.666666666666666,27.466666666666665,11.2,7.933333333333334,2.2666666666666666,16.666666666666668,16.133333333333333,70.33333333333333,0.3333333333333333,82.17333333333333,85.37238095238095,12.10095238095238,30.972380952380952,75.8552380952381,83.77285714285713,10.70363668798899,15.928030785697901,0.25616980398435535,0.6941703172387232,0.46958377801494133,0.45807426447601507,0.5166191832858499,85.5914327437936,88.8521993284323,-5.521904761904764
6,HCW,2017,14.0,4.0,26.928571428571427,65.07142857142857,5.142857142857143,17.142857142857142,10.571428571428571,17.857142857142858,11.0,28.642857142857142,16.642857142857142,8.571428571428571,1.5714285714285714,23.714285714285715,16.714285714285715,69.57142857142857,0.2857142857142857,84.92857142857142,87.41076923076923,10.461538461538462,27.280219780219785,75.47252747252746,86.16967032967032,14.691046658259774,20.93316519546028,0.28735467202526194,0.7324715470001405,0.5122834422039193,0.4769833496571988,0.5323819978046103,81.91757779646764,86.34236734981229,-5.901098901098891
7,HCW,2018,14.0,1.0,29.857142857142858,69.14285714285714,6.928571428571429,19.857142857142858,10.214285714285714,15.642857142857142,9.0,25.0,11.142857142857142,6.5,1.8571428571428572,17.142857142857142,15.785714285714286,76.85714285714286,0.07142857142857142,83.54285714285713,83.56304761904762,10.956190476190477,28.20761904761905,80.54095238095238,83.55295238095238,10.682297515681064,16.434303870278562,0.24188594245930173,0.6952905652381204,0.46471062976751454,0.5054680747115637,0.5821280991735538,91.99726402188784,96.38345497896084,-3.683809523809515
8,HCW,2019,15.0,8.0,27.666666666666668,73.46666666666667,5.666666666666667,24.8,11.533333333333333,17.933333333333334,12.4,28.466666666666665,10.333333333333334,12.066666666666666,2.4,17.266666666666666,16.933333333333334,72.53333333333333,0.5333333333333333,85.50666666666667,84.70571428571428,11.754285714285713,30.77238095238095,75.4152380952381,85.10619047619048,9.483834650872515,15.84718177145794,0.2872206657695617,0.7077571509755636,0.49004716604045084,0.4457701006260448,0.49228675136116157,84.82769374707624,89.032054957781,-2.8819047619047637
9,HNB,2017,14.0,7.0,24.642857142857142,69.5,6.5,24.428571428571427,13.428571428571429,21.142857142857142,9.785714285714286,24.357142857142858,15.142857142857142,10.0,2.4285714285714284,15.285714285714286,17.0,69.21428571428571,0.5,83.45714285714286,87.70505494505495,10.704395604395604,28.13736263736264,75.54395604395603,85.5810989010989,13.86309539379038,13.993879312599724,0.25804114749348017,0.6946969222089889,0.46780896169597697,0.43916101664189117,0.49486125385405955,82.93392673741869,86.13409579559861,-6.329670329670321
