,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Danang-Dragons,Thang-Long-Warriors,12,"Nguyen, Tuan",35,6,15,3,9,1,2,0,1,2,0,0,7,0,16
1,Regular 1,Danang-Dragons,Thang-Long-Warriors,0,"Nguyen, Horace",27,4,18,4,10,3,6,0,0,0,2,0,3,1,15
2,Regular 1,Danang-Dragons,Thang-Long-Warriors,25,"Joly, Rudolphe",27,4,10,0,0,3,6,6,10,2,1,0,3,1,11
3,Regular 1,Danang-Dragons,Thang-Long-Warriors,34,"Tim, Waale",21,1,4,0,0,2,6,2,2,0,1,1,2,3,4
4,Regular 1,Danang-Dragons,Thang-Long-Warriors,11,"Thinh Tran, Tien",18,4,7,1,1,5,5,2,1,0,0,1,2,2,14
5,Regular 1,Danang-Dragons,Thang-Long-Warriors,77,"Van My, Vo",16,0,4,0,3,1,2,0,1,2,0,0,3,4,1
6,Regular 1,Danang-Dragons,Thang-Long-Warriors,39,"Nguyen Tuan, Vinh",15,1,4,0,0,2,4,0,0,0,0,0,1,0,4
7,Regular 1,Danang-Dragons,Thang-Long-Warriors,3,"Pham, Nguyen",15,0,4,0,1,0,0,0,1,1,1,0,1,0,0
8,Regular 1,Danang-Dragons,Thang-Long-Warriors,14,"Le, Thang",13,0,5,0,0,0,0,0,2,0,0,0,0,2,0
9,Regular 1,Danang-Dragons,Thang-Long-Warriors,24,"Dai, Dam Huy",10,0,3,0,2,0,0,0,1,1,0,0,4,0,0
0,Regular 1,Thang-Long-Warriors,Danang-Dragons,20,"Hill, Jaywuan",28,13,22,0,3,6,7,0,6,5,2,1,2,2,32
1,Regular 1,Thang-Long-Warriors,Danang-Dragons,12,"Young, Justin",27,6,11,1,2,6,8,1,5,5,1,0,1,2,19
2,Regular 1,Thang-Long-Warriors,Danang-Dragons,10,"Nguyen Van, Hung",26,4,6,0,0,0,0,0,6,2,0,0,1,3,8
3,Regular 1,Thang-Long-Warriors,Danang-Dragons,18,"Le, Ryan",23,4,7,1,2,1,2,0,1,4,0,0,2,3,10
4,Regular 1,Thang-Long-Warriors,Danang-Dragons,7,"Xuan, Quoc Nguyen",18,6,10,1,1,0,0,3,0,3,1,0,4,4,13
5,Regular 1,Thang-Long-Warriors,Danang-Dragons,5,"To, Quang",16,2,9,0,3,0,0,0,0,2,3,0,1,2,4
6,Regular 1,Thang-Long-Warriors,Danang-Dragons,21,"Hoang, Hien",13,2,6,0,0,0,0,1,2,0,1,0,1,4,4
7,Regular 1,Thang-Long-Warriors,Danang-Dragons,19,"Phan Minh, Luyen",13,0,3,0,2,0,0,0,1,1,0,0,3,1,0
8,Regular 1,Thang-Long-Warriors,Danang-Dragons,9,"Djo, Nam",11,1,3,0,1,0,0,0,0,1,0,0,2,2,2
9,Regular 1,Thang-Long-Warriors,Danang-Dragons,3,"Bui, Ha",9,2,6,0,3,0,0,0,0,0,0,0,1,0,4
10,Regular 1,Thang-Long-Warriors,Danang-Dragons,6,"Truong, Trung",6,0,2,0,0,0,0,0,1,0,0,0,2,0,0
11,Regular 1,Thang-Long-Warriors,Danang-Dragons,8,"Vu, Tu",6,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,23,"Dinh Duy, Tan",44,12,21,3,6,2,6,2,6,4,2,1,6,2,29
1,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,21,"Hamilton, DeAngelo",44,7,18,1,2,0,4,1,7,4,3,1,1,1,15
2,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,65,"Le Phuoc, Thang",40,5,9,4,5,2,2,3,4,8,0,1,0,2,16
3,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,11,"Thanh, Dinh",29,2,4,1,2,0,0,1,3,6,2,1,3,4,5
4,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,8,"Ngcc, Nguycn",27,3,6,0,1,1,2,0,2,5,1,0,5,4,7
5,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,6,"Nguycn, Hoang",9,2,3,1,2,0,0,0,1,0,0,0,0,0,5
6,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,52,"Nguyen Hoang, Tu",7,2,4,0,1,0,0,0,1,0,0,0,0,0,4
