,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
7,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,13,"Le Van, Day",7,1,3,0,1,0,0,0,0,0,0,0,3,2,2
8,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,7,"Du Minh, An",5,0,2,0,0,0,0,0,1,5,3,1,3,2,0
9,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,3,"Le, Nguycn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,4,"Thanh, Hucnh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,12,"Hucnh, Nguycn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,18,"Collins, Jordan",44,10,22,5,10,0,0,2,10,4,0,1,5,0,25
1,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,90,"Nguyen, Duong",34,3,11,3,5,4,5,1,2,3,0,0,1,3,13
2,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,4,"Nguyen, Vincent",26,5,10,2,4,4,5,2,3,11,4,1,4,1,16
3,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,3,"Nguyen Thanh, Dat",22,4,11,1,5,0,0,2,2,3,0,0,3,1,9
4,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,2,"Arorld, Ryan",16,1,4,0,2,0,0,1,4,0,0,0,2,0,2
5,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,7,"Dang Thai, Hung",16,2,3,0,0,1,2,2,3,1,2,0,2,1,5
6,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,10,"Nguyen Phu, Hoang",14,2,4,0,0,3,4,0,3,3,0,0,3,3,7
7,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,1,"Dinh Tien, Cong",12,4,6,1,3,0,0,1,3,2,1,0,3,5,9
8,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,13,"Pham, Tung",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,15,"Do, Huy Hoang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,98,"Vu, Duc Thai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Saigon-Heat,Thang-Long-Warriors,15,"Lewis, Darius",38,7,11,0,0,7,11,2,19,5,4,3,1,1,21
1,Regular 1,Saigon-Heat,Thang-Long-Warriors,14,"Tu Le, Ngoc",34,8,11,3,3,5,9,2,3,1,3,0,1,0,24
2,Regular 1,Saigon-Heat,Thang-Long-Warriors,6,"Arnold, David",26,3,8,2,4,4,7,0,3,3,1,0,5,5,12
3,Regular 1,Saigon-Heat,Thang-Long-Warriors,7,"Nguyen, Huynh Hai",24,5,10,4,5,0,0,0,1,3,1,0,2,4,14
4,Regular 1,Saigon-Heat,Thang-Long-Warriors,0,"Lan Hong, Gia",24,1,9,0,3,0,0,0,0,3,2,0,2,4,2
5,Regular 1,Saigon-Heat,Thang-Long-Warriors,8,"Pham, Pham Duy",23,4,9,0,3,0,2,1,1,5,2,0,3,5,8
6,Regular 1,Saigon-Heat,Thang-Long-Warriors,35,"Nguyen, Tony",19,2,5,1,3,0,1,0,2,0,1,0,0,1,5
7,Regular 1,Saigon-Heat,Thang-Long-Warriors,24,"Hucnh, Khang",6,0,0,0,0,0,0,1,2,1,0,0,3,1,0
8,Regular 1,Saigon-Heat,Thang-Long-Warriors,9,"Huy, Hoan Vo",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
9,Regular 1,Saigon-Heat,Thang-Long-Warriors,10,"Qucc, Thai Cao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Saigon-Heat,Thang-Long-Warriors,69,"Bui Quoc, Tan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Thang-Long-Warriors,Saigon-Heat,12,"Young, Justin",35,5,14,0,2,5,9,0,8,3,1,0,9,2,15
1,Regular 1,Thang-Long-Warriors,Saigon-Heat,20,"Hill, Jaywuan",34,8,16,3,5,2,4,4,9,4,0,1,4,1,21
2,Regular 1,Thang-Long-Warriors,Saigon-Heat,5,"To, Quang",33,3,8,2,7,6,8,2,1,5,5,0,4,3,14
3,Regular 1,Thang-Long-Warriors,Saigon-Heat,10,"Nguyen Van, Hung",33,2,7,0,0,0,0,1,8,4,1,0,3,4,4
4,Regular 1,Thang-Long-Warriors,Saigon-Heat,7,"Xuan, Quoc Nguyen",22,6,12,0,0,0,4,3,2,1,1,0,3,3,12
5,Regular 1,Thang-Long-Warriors,Saigon-Heat,18,"Le, Ryan",21,2,6,2,4,0,0,1,1,2,0,0,2,5,6
6,Regular 1,Thang-Long-Warriors,Saigon-Heat,9,"Djo, Nam",11,2,6,0,3,0,0,0,2,0,0,0,3,2,4
7,Regular 1,Thang-Long-Warriors,Saigon-Heat,3,"Bui, Ha",5,1,4,0,0,0,0,2,0,1,0,0,0,1,2
8,Regular 1,Thang-Long-Warriors,Saigon-Heat,19,"Phan Minh, Luyen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 1,Thang-Long-Warriors,Saigon-Heat,21,"Hoang, Hien",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Thang-Long-Warriors,Saigon-Heat,6,"Truong, Trung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 1,Thang-Long-Warriors,Saigon-Heat,8,"Vu, Tu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Danang-Dragons,Hochiminh-City-Wings,25,"Joly, Rudolphe",36,11,25,0,0,14,19,6,11,2,1,1,4,1,36
1,Regular 1,Danang-Dragons,Hochiminh-City-Wings,0,"Nguyen, Horace",36,4,10,1,6,3,3,1,3,2,2,0,2,3,12
2,Regular 1,Danang-Dragons,Hochiminh-City-Wings,12,"Nguyen, Tuan",32,4,10,1,3,0,0,0,0,5,2,0,0,4,9
3,Regular 1,Danang-Dragons,Hochiminh-City-Wings,77,"Van My, Vo",29,3,9,1,3,1,2,1,2,5,5,0,3,4,8
4,Regular 1,Danang-Dragons,Hochiminh-City-Wings,24,"Dai, Dam Huy",28,2,9,1,8,0,0,0,2,1,1,0,1,2,5
5,Regular 1,Danang-Dragons,Hochiminh-City-Wings,14,"Le, Thang",11,0,3,0,0,0,0,1,1,0,0,0,0,1,0
6,Regular 1,Danang-Dragons,Hochiminh-City-Wings,34,"Tim, Waale",10,2,3,0,0,0,0,3,0,0,0,0,1,1,4
7,Regular 1,Danang-Dragons,Hochiminh-City-Wings,11,"Thinh Tran, Tien",8,0,1,0,0,0,0,1,0,0,1,0,0,3,0
8,Regular 1,Danang-Dragons,Hochiminh-City-Wings,10,"Quoc, Trong Djao",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Regular 1,Danang-Dragons,Hochiminh-City-Wings,3,"Pham, Nguyen",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Danang-Dragons,Hochiminh-City-Wings,39,"Nguyen Tuan, Vinh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Hochiminh-City-Wings,Danang-Dragons,2,"Nguyen, Henry",36,0,5,0,2,1,2,2,0,5,3,0,2,4,1
1,Regular 1,Hochiminh-City-Wings,Danang-Dragons,25,"Le Cong, Tuan",30,8,11,0,0,0,2,1,6,3,0,0,2,5,16
2,Regular 1,Hochiminh-City-Wings,Danang-Dragons,10,"Chong, Paul",30,1,6,0,3,1,2,1,3,6,0,0,3,1,3
3,Regular 1,Hochiminh-City-Wings,Danang-Dragons,9,"Trieu, Han Minh",28,6,11,2,6,3,3,0,4,5,0,0,6,0,17
4,Regular 1,Hochiminh-City-Wings,Danang-Dragons,23,"Richardson, Bilal",25,11,15,1,1,2,7,5,7,1,0,2,2,4,25
5,Regular 1,Hochiminh-City-Wings,Danang-Dragons,88,"Luong Chi, Manh",18,2,5,0,1,0,0,0,1,1,0,0,0,2,4
6,Regular 1,Hochiminh-City-Wings,Danang-Dragons,91,"Nguyen, Thanh",13,0,0,0,0,1,2,0,0,1,0,0,2,1,1
7,Regular 1,Hochiminh-City-Wings,Danang-Dragons,36,"Nguyen Lam Anh, Duy",9,4,7,0,0,0,0,0,1,0,0,0,0,3,8
8,Regular 1,Hochiminh-City-Wings,Danang-Dragons,14,"Nguyen, Quan",4,1,2,0,1,0,0,0,1,0,0,0,1,0,2
9,Regular 1,Hochiminh-City-Wings,Danang-Dragons,1,"Quoc, Thanh Nguyen",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Hochiminh-City-Wings,Danang-Dragons,8,"Vo Van, Thanh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,21,"Hamilton, DeAngelo",37,8,18,1,4,4,4,5,10,3,2,8,3,4,21
1,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,23,"Dinh Duy, Tan",34,11,22,2,6,2,6,0,3,1,0,0,8,2,26
2,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,11,"Thanh, Dinh",29,4,9,2,5,2,5,1,5,1,1,1,2,1,12
3,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,65,"Huynh Huu, Thang",24,1,7,1,3,2,2,0,3,1,2,0,1,2,5
4,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,8,"Ngcc, Nguycn",20,0,2,0,1,0,0,0,2,2,0,0,3,1,0
5,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,7,"Du-Minh, An",19,2,4,0,0,0,0,1,1,3,2,0,3,4,4
6,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,6,"Nguycn, Hoang",12,2,5,1,3,1,2,0,1,0,0,0,2,3,6
7,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,52,"Nguyen-Hoang, Tu",12,2,5,1,2,0,0,0,2,0,0,0,1,1,5
8,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,13,"Le-Van, Day",7,0,2,0,0,0,0,1,0,0,0,0,0,1,0
9,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,3,"Le, Nguycn",1,0,0,0,0,0,0,0,0,0,0,0,3,1,0
10,Regular 1,Can-Tho-Catfish,Hanoi-Buffalos,12,"Hucnh, Nguycn",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,18,"Collins, Jordan",37,2,15,1,5,0,4,6,7,1,0,2,2,2,5
1,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,4,"Nguyen, Vincent",35,3,14,1,9,3,3,0,5,4,1,0,2,0,10
2,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,90,"Nguyen, Duong",29,1,5,0,1,1,5,0,0,1,0,0,1,3,3
3,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,3,"Nguyen Thanh, Dat",22,7,14,5,10,1,5,0,1,2,0,0,4,2,20
4,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,7,"Dang-Thai, Hung",14,4,7,0,0,0,0,1,1,0,0,0,1,1,8
5,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,13,"Pham, Tung",14,3,7,0,1,2,2,0,1,0,0,0,0,2,8
6,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,10,"Nguyen-Phu, Hoang",13,2,8,1,3,3,7,0,1,2,1,0,1,3,8
7,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,2,"Arorld, Ryan",12,0,3,0,3,1,2,0,2,1,1,0,2,3,1
8,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,1,"Dinh-Tien, Cong",10,1,4,0,1,0,0,1,2,1,0,1,2,5,2
9,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,15,"Do, Huy-Hoang",6,2,4,0,1,0,0,0,0,1,0,0,0,0,4
10,Regular 1,Hanoi-Buffalos,Can-Tho-Catfish,98,"Vu, Duc-Thai",2,1,1,0,0,0,0,0,0,0,0,1,0,1,2
0,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,23,"Richardson, Bilal",39,10,24,0,0,7,14,9,18,0,1,3,3,4,27
1,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,2,"Nguyen, Henry",37,5,9,3,5,1,2,1,1,5,1,0,2,0,14
2,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,9,"Trieu, Han-Minh",35,4,13,3,8,0,0,2,4,2,2,0,7,1,11
3,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,10,"Chong, Paul",29,0,7,0,3,0,0,1,5,2,0,0,4,5,0
4,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,25,"Le-Cong, Tuan",23,4,12,0,0,2,4,3,2,1,0,1,1,5,10
5,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,88,"Luong-Chi, Manh",20,3,7,1,4,2,4,1,3,1,0,0,4,2,9
6,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,91,"Nguyen, Thanh",8,0,1,0,0,0,0,0,0,1,0,0,2,2,0
7,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,14,"Nguyen, Quan",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,36,"Nguyen-Lam-Anh, Duy",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,1,"Quoc, Thanh-Nguyen",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Regular 2,Hochiminh-City-Wings,Thang-Long-Warriors,8,"Vo-Van, Thanh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,20,"Hill, Jaywuan",40,9,20,0,1,7,9,3,5,2,1,2,3,2,25
1,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,12,"Young, Justin",33,6,10,1,1,3,5,1,5,2,4,1,2,4,16
2,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,5,"To, Quang",32,8,14,2,5,6,8,0,1,4,6,0,2,1,24
3,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,18,"Le, Ryan",31,2,9,0,3,0,0,1,2,0,3,0,0,2,4
4,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,10,"Nguyen-Van, Hung",30,1,6,0,0,3,4,0,8,1,2,1,1,5,5
5,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,7,"Xuan, Quoc-Nguyen",13,1,6,0,0,0,0,1,0,1,1,0,1,2,2
6,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,9,"Djo, Nam",11,1,5,0,3,0,0,0,1,0,0,0,0,5,2
7,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,3,"Bui, Ha",3,0,1,0,0,1,2,0,0,0,1,0,0,1,1
8,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,6,"Truong, Trung",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,21,"Hoang, Hien",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,19,"Phan-Minh, Luyen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Thang-Long-Warriors,Hochiminh-City-Wings,8,"Vu, Tu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,18,"Collins, Jordan",38,6,24,1,12,0,1,3,5,2,0,0,5,4,13
1,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,4,"Nguyen, Vincent",36,3,8,1,4,8,8,0,11,5,2,0,2,1,15
2,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,1,"Dinh-Tien, Cong",31,3,7,1,3,0,0,1,1,0,2,0,2,3,7
3,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,90,"Nguyen, Duong",26,2,6,1,3,1,2,0,3,1,0,0,1,1,6
4,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,3,"Nguyen-Thanh, Dat",19,3,11,1,6,3,4,1,1,0,3,0,2,3,10
5,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,10,"Nguyen-Phu, Hoang",14,0,4,0,0,1,2,1,1,2,0,0,3,0,1
6,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,13,"Pham, Tung",12,1,5,0,1,0,0,2,3,0,0,0,1,3,2
7,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,7,"Dang-Thai, Hung",9,1,4,0,0,0,2,1,1,0,0,2,1,2,2
8,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,2,"Arorld, Ryan",6,0,1,0,1,1,2,0,0,0,0,0,0,0,1
9,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,15,"Do, Huy-Hoang",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Regular 3,Hanoi-Buffalos,Hochiminh-City-Wings,98,"Vu, Duc-Thai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,2,"Nguyen, Henry",39,4,11,3,8,0,0,3,8,0,0,0,3,4,11
1,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,23,"Richardson, Bilal",38,11,23,0,1,4,5,5,10,0,0,2,6,2,26
2,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,11,"Ngo, Tuan-Trung",29,3,6,0,1,1,1,0,2,2,3,0,3,3,7
3,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,9,"Trieu, Han-Minh",26,2,10,2,6,0,0,1,4,4,0,0,5,4,6
4,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,91,"Nguyen, Thanh",24,0,3,0,1,3,10,1,3,1,1,0,3,5,3
5,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,36,"Nguyen-Lam-Anh, Duy",15,0,3,0,0,0,2,0,1,0,0,0,0,0,0
6,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,1,"Quoc, Thanh-Nguyen",13,1,5,0,1,0,0,1,1,0,0,0,1,1,2
7,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,19,"Hoang, Dung",5,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,14,"Nguyen, Quan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 3,Hochiminh-City-Wings,Hanoi-Buffalos,8,"Vo-Van, Thanh",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 3,Can-Tho-Catfish,Saigon-Heat,21,"Hamilton, DeAngelo",38,11,22,0,4,5,9,5,15,2,3,5,5,3,27
1,Regular 3,Can-Tho-Catfish,Saigon-Heat,23,"Dinh-Duy, Tan",38,3,11,1,4,0,0,0,5,3,2,0,5,0,7
2,Regular 3,Can-Tho-Catfish,Saigon-Heat,11,"Thanh, Dinh",38,2,11,0,4,1,2,1,1,2,4,0,4,1,5
3,Regular 3,Can-Tho-Catfish,Saigon-Heat,8,"Ngcc, Nguycn",25,3,6,0,2,0,0,0,2,3,1,0,7,3,6
4,Regular 3,Can-Tho-Catfish,Saigon-Heat,4,"Thanh, Hucnh",14,2,3,0,0,0,2,0,0,2,2,0,3,0,4
5,Regular 3,Can-Tho-Catfish,Saigon-Heat,3,"Le, Nguycn",13,2,4,0,1,3,3,0,0,0,1,0,1,0,7
6,Regular 3,Can-Tho-Catfish,Saigon-Heat,13,"Le-Van, Day",12,0,0,0,0,0,0,1,0,1,1,0,1,1,0
7,Regular 3,Can-Tho-Catfish,Saigon-Heat,77,"Huynh Huu, Thang",7,1,3,0,1,0,0,0,0,0,0,0,0,1,2
8,Regular 3,Can-Tho-Catfish,Saigon-Heat,52,"Nguyen-Hoang, Tu",6,0,2,0,1,1,2,0,1,0,0,0,0,1,1
9,Regular 3,Can-Tho-Catfish,Saigon-Heat,24,"Ticp, N",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Regular 3,Can-Tho-Catfish,Saigon-Heat,6,"Nguycn, Hoang",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Regular 3,Can-Tho-Catfish,Saigon-Heat,12,"Hucnh, Nguycn",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 3,Saigon-Heat,Can-Tho-Catfish,15,"Lewis, Darius",38,17,28,0,0,5,8,8,10,1,3,1,6,3,39
1,Regular 3,Saigon-Heat,Can-Tho-Catfish,14,"Tu-Le, Ngoc",33,2,8,1,4,0,0,1,3,7,1,0,5,1,5
2,Regular 3,Saigon-Heat,Can-Tho-Catfish,7,"Nguyen, Huynh-Hai",28,2,5,0,1,0,0,0,0,2,2,0,2,1,4
3,Regular 3,Saigon-Heat,Can-Tho-Catfish,35,"Nguyen, Tony",27,1,6,1,5,0,0,0,4,3,2,0,3,4,3
4,Regular 3,Saigon-Heat,Can-Tho-Catfish,0,"Lan-Hong, Gia",26,5,14,4,7,1,2,0,4,2,1,0,1,3,15
5,Regular 3,Saigon-Heat,Can-Tho-Catfish,6,"Arnold, David",14,1,3,1,2,1,2,0,3,3,0,0,4,2,4
6,Regular 3,Saigon-Heat,Can-Tho-Catfish,24,"Hucnh, Khang",13,1,1,0,0,0,0,1,0,0,1,0,1,0,2
7,Regular 3,Saigon-Heat,Can-Tho-Catfish,9,"Huy, Hoan-Vo",13,0,1,0,0,0,0,0,2,1,0,0,2,2,0
8,Regular 3,Saigon-Heat,Can-Tho-Catfish,4,"Kicu Phu, T",1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
9,Regular 3,Saigon-Heat,Can-Tho-Catfish,5,"Vo Thai, C",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Regular 3,Saigon-Heat,Can-Tho-Catfish,8,"Pham, Pham-Duy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 3,Saigon-Heat,Can-Tho-Catfish,10,"Qucc, Thai-Cao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 3,Danang-Dragons,Thang-Long-Warriors,0,"Nguyen, Horace",37,1,8,1,4,0,0,0,1,6,1,0,6,2,3
1,Regular 3,Danang-Dragons,Thang-Long-Warriors,25,"Joly, Rudolphe",36,12,18,0,1,2,5,5,8,8,0,3,2,3,26
2,Regular 3,Danang-Dragons,Thang-Long-Warriors,24,"Dai, Dam-Huy",36,5,9,2,6,0,0,0,2,1,3,0,1,3,12
3,Regular 3,Danang-Dragons,Thang-Long-Warriors,34,"Tim, Waale",29,4,8,0,0,0,0,3,8,4,0,0,0,2,8
4,Regular 3,Danang-Dragons,Thang-Long-Warriors,77,"Van-My, Vo",24,2,5,1,3,0,2,1,9,3,1,0,0,5,5
