,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
7,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,7,"Nguyen-Huynh, Hai",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,14,"Bui-Thai, Ha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,19,"Ngoc, Tran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,11,"Doan, Tung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,15,"Nguyen-Van, Vinh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Hochiminh-City-Wings,Saigon-Heat,33,"Martin, Wayne",39,11,25,0,1,1,3,6,12,4,2,2,1,2,23
1,Regular 1,Hochiminh-City-Wings,Saigon-Heat,4,"Nguyen Quang, Vinh",35,9,18,3,7,4,6,1,4,3,4,0,4,1,25
2,Regular 1,Hochiminh-City-Wings,Saigon-Heat,3,"Soy, Michael",33,7,12,2,6,2,2,0,3,2,3,0,2,0,18
3,Regular 1,Hochiminh-City-Wings,Saigon-Heat,13,"Pham, Tung",23,3,9,1,2,0,0,3,1,0,0,0,2,4,7
4,Regular 1,Hochiminh-City-Wings,Saigon-Heat,19,"Cao Dac, Luan",17,2,4,0,0,0,0,3,2,1,2,0,1,1,4
5,Regular 1,Hochiminh-City-Wings,Saigon-Heat,20,"Nguyen Minh, Chung",14,1,3,1,3,0,0,0,2,1,0,0,0,2,3
6,Regular 1,Hochiminh-City-Wings,Saigon-Heat,16,"Cao Dac, Luan",13,1,3,0,0,0,0,1,1,0,0,0,1,4,2
7,Regular 1,Hochiminh-City-Wings,Saigon-Heat,15,"Le Tran Dang, Huynh",11,0,1,0,1,0,0,0,1,0,0,0,3,1,0
8,Regular 1,Hochiminh-City-Wings,Saigon-Heat,14,"Nguyen Ky, Quan",10,1,1,0,0,0,0,0,0,1,1,0,0,3,2
9,Regular 1,Hochiminh-City-Wings,Saigon-Heat,2,"Hoang, Tu",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Hochiminh-City-Wings,Saigon-Heat,1,"Nguyen Quoc, Thanh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 1,Hochiminh-City-Wings,Saigon-Heat,12,"Nguyen Quoc, Thai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Saigon-Heat,Hochiminh-City-Wings,3,"Tavarion, Nix",35,6,12,2,4,9,13,0,7,0,0,0,8,4,23
1,Regular 1,Saigon-Heat,Hochiminh-City-Wings,8,"Tran-Dang, Khoa",31,5,15,1,5,5,8,5,4,5,3,0,2,4,16
2,Regular 1,Saigon-Heat,Hochiminh-City-Wings,7,"Du-Minh, An",25,2,6,1,4,2,2,0,3,2,1,0,3,5,7
3,Regular 1,Saigon-Heat,Hochiminh-City-Wings,2,"Nguyen, Richard",22,3,9,0,2,0,0,1,3,1,3,0,3,2,6
4,Regular 1,Saigon-Heat,Hochiminh-City-Wings,98,"Trieu-Han, Minh",22,1,7,1,5,0,0,3,0,2,0,0,1,0,3
5,Regular 1,Saigon-Heat,Hochiminh-City-Wings,30,"Waale, Tim",17,3,4,0,0,3,4,2,1,0,1,1,1,0,9
6,Regular 1,Saigon-Heat,Hochiminh-City-Wings,12,"Nguyen-Huynh, Vinh",17,4,8,0,0,0,0,1,3,0,0,0,0,1,8
7,Regular 1,Saigon-Heat,Hochiminh-City-Wings,52,"Huynh-Vinh, Quang",11,0,2,0,2,0,0,0,2,1,0,0,0,1,0
8,Regular 1,Saigon-Heat,Hochiminh-City-Wings,11,"Ban-Vo, Kim",8,1,2,1,1,1,2,0,1,0,2,0,2,0,4
9,Regular 1,Saigon-Heat,Hochiminh-City-Wings,20,"Kien, Pham-Duc",7,0,0,0,0,0,0,0,2,0,0,0,3,2,0
10,Regular 1,Saigon-Heat,Hochiminh-City-Wings,24,"Nguyen-Truong, Nhut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Saigon-Heat,Thang-Long-Warriors,3,"Tavarion, Nix",35,11,20,1,4,5,7,2,10,6,2,4,2,3,28
1,Regular 2,Saigon-Heat,Thang-Long-Warriors,8,"Tran Dang, Khoa",25,5,11,1,6,1,2,1,4,6,7,0,1,0,12
2,Regular 2,Saigon-Heat,Thang-Long-Warriors,7,"Du Minh, An",21,3,5,0,2,2,4,2,1,2,1,0,1,1,8
3,Regular 2,Saigon-Heat,Thang-Long-Warriors,98,"Trieu Han, Minh",20,2,5,1,3,0,0,1,3,1,1,0,2,2,5
4,Regular 2,Saigon-Heat,Thang-Long-Warriors,2,"Nguyen, Richard",20,2,8,0,2,0,0,0,3,2,5,0,6,0,4
5,Regular 2,Saigon-Heat,Thang-Long-Warriors,52,"Huynh Vinh, Quang",19,3,3,1,1,0,0,0,2,3,1,0,6,0,7
6,Regular 2,Saigon-Heat,Thang-Long-Warriors,30,"Waale, Tim",17,3,4,0,0,2,2,2,0,0,1,0,0,1,8
7,Regular 2,Saigon-Heat,Thang-Long-Warriors,12,"Nguyen Huynh, Vinh",14,4,4,0,0,0,0,0,3,1,0,1,1,0,8
8,Regular 2,Saigon-Heat,Thang-Long-Warriors,11,"Ban Vo, Kim",12,2,6,1,4,0,2,0,1,1,0,0,0,1,5
9,Regular 2,Saigon-Heat,Thang-Long-Warriors,20,"Kien, Pham Duc",11,0,2,0,0,0,0,0,3,0,1,1,1,4,0
10,Regular 2,Saigon-Heat,Thang-Long-Warriors,24,"Nguyen Truong, Nhut",2,1,1,1,1,0,0,0,0,0,0,0,0,0,3
0,Regular 2,Thang-Long-Warriors,Saigon-Heat,20,"Hill, Jaywuan",39,8,14,1,1,3,4,10,8,1,0,2,2,2,20
1,Regular 2,Thang-Long-Warriors,Saigon-Heat,3,"Nguyen-Thanh, Dat",29,3,16,3,12,3,4,2,6,0,4,0,6,2,12
