,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,17,"Hamilton, DeAngelo",38,7,15,1,6,8,12,4,14,0,1,5,4,3,23
1,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,23,"Dinh Thanh, Tam",37,7,17,1,9,3,3,5,3,1,2,0,6,1,18
2,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,0,"Nguycn Phu, Hoang",32,5,13,3,7,2,4,2,4,4,2,0,2,1,15
3,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,65,"Le Hieu, Thanh",32,2,13,2,12,0,0,1,6,3,2,0,6,5,6
4,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,11,"Dinh Thanh, Sang",31,3,12,1,7,2,3,4,3,4,1,0,4,5,9
5,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,56,"Phcm Duy, Hcu",12,2,5,0,1,0,1,0,2,1,0,0,2,0,4
6,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,12,"Nguycn Hucnh, Vinh",7,0,1,0,0,0,0,0,5,0,0,0,0,1,0
7,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,7,"Du Qucc, Tai",4,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,52,"Nguycn Hoang, TU",2,0,1,0,1,2,2,0,0,0,0,0,0,1,2
9,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,1,"Tang Minh, Tri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 1,Can-Tho-Catfish,Thang-Long-Warriors,15,"Phcm Tucn, VU",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,12,"Young, Justin",35,4,16,0,6,1,2,2,9,3,3,0,1,1,9
1,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,20,"Hill, Jaywuan",32,5,16,0,5,4,6,4,6,0,2,0,2,4,14
2,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,7,"Dang Thai, Hung",29,3,11,0,0,1,1,1,6,2,2,0,2,3,7
3,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,5,"To Quang, Trung",28,8,18,2,9,3,7,4,3,2,5,0,6,5,21
4,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,11,"Ngo Tuan, Trung",27,1,5,0,3,1,2,0,5,4,3,0,4,2,3
5,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,6,"Truong Hoang, Trung",20,6,8,2,2,1,2,2,3,0,0,0,1,4,15
6,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,8,"Le, Ryan",20,2,8,0,4,0,0,0,3,0,3,1,1,4,4
7,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,9,"Do Xuan, Nam",5,0,2,0,1,1,2,1,0,1,0,0,0,1,1
8,Regular 1,Thang-Long-Warriors,Can-Tho-Catfish,14,"Bui Thai, HA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
