,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 9,Can-Tho-Catfish,Danang-Dragons,28,71,5,28,13,18,9,27,12,4,1,8,8,74
0,Regular 9,Danang-Dragons,Can-Tho-Catfish,34,69,6,18,5,8,8,24,15,6,2,9,16,79
0,Regular 10,Danang-Dragons,Thang-Long-Warriors,19,68,1,24,12,18,10,23,6,8,4,18,10,51
0,Regular 10,Thang-Long-Warriors,Danang-Dragons,31,76,8,23,10,11,17,38,17,13,4,17,14,80
0,Regular 10,Hanoi-Buffalos,Saigon-Heat,23,65,6,22,13,20,8,36,9,7,4,14,16,65
0,Regular 10,Saigon-Heat,Hanoi-Buffalos,25,81,1,23,10,15,17,35,10,7,3,15,18,61
0,Regular 10,Hochiminh-City-Wings,Saigon-Heat,31,87,8,32,9,17,27,23,12,17,1,16,17,79
0,Regular 10,Saigon-Heat,Hochiminh-City-Wings,23,61,6,25,13,16,11,25,12,10,7,24,15,65
0,Regular 10,Can-Tho-Catfish,Hanoi-Buffalos,29,89,7,33,5,10,11,32,14,20,2,22,17,70
0,Regular 10,Hanoi-Buffalos,Can-Tho-Catfish,25,77,1,27,13,17,16,42,7,15,4,28,14,64
0,Regular 11,Can-Tho-Catfish,Thang-Long-Warriors,30,71,7,26,18,27,12,41,11,10,9,22,18,85
0,Regular 11,Thang-Long-Warriors,Can-Tho-Catfish,29,84,3,15,15,19,13,34,12,12,0,15,17,76
0,Regular 11,Danang-Dragons,Hochiminh-City-Wings,28,64,7,19,12,18,11,33,17,11,4,26,18,75
0,Regular 11,Hochiminh-City-Wings,Danang-Dragons,24,72,3,29,18,27,14,24,7,14,2,19,19,69
0,Regular 11,Danang-Dragons,Saigon-Heat,21,76,5,30,15,20,23,21,6,8,3,15,13,62
0,Regular 11,Saigon-Heat,Danang-Dragons,28,60,8,24,6,12,8,27,11,8,4,18,15,70
0,Regular 12,Hanoi-Buffalos,Hochiminh-City-Wings,35,78,1,17,7,13,21,37,24,12,5,30,12,78
0,Regular 12,Hochiminh-City-Wings,Hanoi-Buffalos,25,73,4,24,9,14,8,24,14,19,2,24,14,63
0,Regular 12,Danang-Dragons,Saigon-Heat,28,70,5,18,13,19,7,24,13,5,1,15,19,74
0,Regular 12,Saigon-Heat,Danang-Dragons,38,80,3,21,9,18,19,33,17,10,3,14,17,88
0,Semi-Finals 1,Can-Tho-Catfish,Thang-Long-Warriors,26,81,10,39,11,19,8,37,17,8,6,13,14,73
0,Semi-Finals 1,Thang-Long-Warriors,Can-Tho-Catfish,30,74,2,18,6,10,12,43,11,7,2,14,11,68
0,Semi-Finals 1,Hochiminh-City-Wings,Saigon-Heat,18,67,5,30,4,9,5,21,10,14,4,17,14,45
0,Semi-Finals 1,Saigon-Heat,Hochiminh-City-Wings,23,61,10,25,10,13,11,40,12,8,6,26,16,66
